Taxon,Subclade,Humeral Length,Radial Length,MCI length,Femoral length
Australovenator_wintonensis,Allosauroidea,305,213,138.4,578
Szechuanosaurus_zigongensis_(ZDM_9011),Allosauroidea,364,203,123,585
Allosaurus_fragilis,Allosauroidea,318,200,118,742
Acrocanthosaurus_atokensis,Allosauroidea,380,210,105,1180
Mononykus_olecranus,Alvarezsauroidea,37,18.2,11.9,139
Haplocheirus_sollers,Alvarezsauroidea,104,86,57,214
Scipionyx_samniticus,basal_coelurosaur,26.3,17.5,10.6,37.3
Juravenator_starki,basal_coelurosaur,27,19,11.5,52
Compsognathus_longipes,basal_coelurosaur,39,24.7,14,71.5
Sinosauropteryx_prima,basal_coelurosaur,35.5,21,17,86.4
Compsognathus_corallestris,basal_coelurosaur,52,41,25.4,109
Huaxiagnathus_orientalis,basal_coelurosaur,89,53,40,164
Coelurus_fragilis,basal_coelurosaur,119,81,53,210
Sinocalliopteryx_gigas,basal_coelurosaur,125,94,60,250
Tanycolagreus_topwilsoni,basal_coelurosaur,194,141,83,356
Eoraptor_lunensis,basal_theropod,85,61,20,154
Herrerasaurus_ischigualastensis,basal_theropod,181.6,153,58,354
Eodromaeus_murphi,basal_theropod,85,66,27,160
Coelophysis_rhodesiensis,basal_theropod,100,61,26,208
Coelophysis_bauri,basal_theropod,120,65,39,209
Dilophosaurus_wetherilli,basal_theropod,270,192,103,557
D_sinensis,basal_theropod,302,175,95,590
Limusaurus_inextricabilis,Ceratosauria,85,45,13,210
Eoabelisaurus_mefi,Ceratosauria,335,165,74,640
Aucasaurus_garridoi,Ceratosauria,265,82,35,730
Carnotaurus_sastrei,Ceratosauria,284,76,36,1035
Mahakala_omnogovae,Paraves,37.5,36,18,79
Microraptor_gui,Paraves,88,79,48.7,106
Bambiraptor_feinbergorum,Paraves,103,85,47,120
Sinornithosaurus_milleni,Paraves,134,100,64,148
Velociraptor_mongoliensis,Paraves,130,104,59.1,187
Tianyuraptor_ostromi,Paraves,130,98,54,200
Linheraptor_exquisitus,Paraves,157,106,63,225
Deinonychus_antirrhopus,Paraves,254,192,103,336
Anchiornis_huxleyi,Paraves,69,54,34,66.2
Jinfengopteryx_elegans,Paraves,49,42,21.4,70
Xiaotingia_zhengi,Paraves,71,63,24,84
Sinornithoides_youngi,Paraves,83,59.1,37,140
Nqwebasaurus_thwazi,Ornithomimosauria,58.5,44.2,26.5,118
Hexing_qingyi,Ornithomimosauria,90,76,33,135
Sinornithomimus_dongi,Ornithomimosauria,212,145,54.7,323
Ornithomimus_edmontonicus,Ornithomimosauria,276,190,107,435
Struthiomimus_altus,Ornithomimosauria,395,313,123,655
Beishanlong_grandis,Ornithomimosauria,465,338,173,660
Gallimimus_bullatus,Ornithomimosauria,530,350,115,665
Khaan_mckennai,Oviraptorosauria,88,69,47,140
Caudipteryx_zhoui,Oviraptorosauria,70,56,29,149
Ingenia_yanshini,Oviraptorosauria,139,95,41,235
Rinchenia_mongoliensis,Oviraptorosauria,205,180,104,305
Gigantoraptor_erlianensis,Oviraptorosauria,735,636,479,1100
Erliansaurus_bellamanus,Therizinosauria,276,220,116,412
Alxasaurus_elesitaiensis,Therizinosauria,375,245,111,555
Nothronychus_graffami,Therizinosauria,424,275,141.2,696
Guanlong_wucaii,Tyrannosauroidea,212,159,87,408
Daspletosaurus_torosus,Tyrannosauroidea,225,96,58,655
Albertosaurus_sarcophagus,Tyrannosauroidea,305,134,83,1020
Gorgosaurus_libratus,Tyrannosauroidea,324,156,98,1040
Tarbosaurus_bataar,Tyrannosauroidea,285,123,75,1120
Tyrannosaurus_rex,Tyrannosauroidea,385,175,113,1321
Gualicho_shinyae,Allosauroidea,292,154,81.7,720
Deltadromaeus_agilis,Allosauroidea,470,NA,NA,740
Concavenator,Allosauroidea,245,150,87,544
Meraxes,Allosauroidea,340,170,85,1260
Deinocheirus,Ornithomimosauria,1000,655,156.5,1320
