	FAD	LAD
Australovenator_wintonensis	106.75	100.5
Szechuanosaurus_zigongensis_(ZDM_9011)	170.3	163.5
Allosaurus_fragilis	157.3	145
Acrocanthosaurus_atokensis	114	99.6
Mononykus_olecranus	76.3	69.9
Haplocheirus_sollers	163.5	157.3
Scipionyx_samniticus	113	106.75
Juravenator_starki	154.8	152.1
Compsognathus_longipes	152.1	147.7
Sinosauropteryx_prima	128.55	119.65
Compsognathus_corallestris	152.1	147.7
Huaxiagnathus_orientalis	128.55	119.65
Coelurus_fragilis	157.3	145
Sinocalliopteryx_gigas	128.55	119.65
Tanycolagreus_topwilsoni	157.3	145
Eoraptor_lunensis	237	228.4
Herrerasaurus_ischigualastensis	237	228.4
Eodromaeus_murphi	237	228.4
Coelophysis_rhodesiensis	201.3	190.8
Coelophysis_bauri	228.4	201.3
Dilophosaurus_wetherilli	199.3	182.7
D_sinensis	201.3	190.8
Limusaurus_inextricabilis	163.5	157.3
Eoabelisaurus_mefi	174.1	168.3
Aucasaurus_garridoi	83.6	80.6
Carnotaurus_sastrei	83.6	72.1
Mahakala_omnogovae	76.3	72.1
Microraptor_gui	128.55	119.65
Bambiraptor_feinbergorum	83.6	72.1
Sinornithosaurus_milleni	128.55	119.65
Velociraptor_mongoliensis	83.6	72.1
Tianyuraptor_ostromi	128.55	119.65
Linheraptor_exquisitus	76.3	72.1
Deinonychus_antirrhopus	126.3	100.5
Anchiornis_huxleyi	166.5	154.7
Jinfengopteryx_elegans	128.55	119.65
Xiaotingia_zhengi	166.5	154.7
Sinornithoides_youngi	139.4	100.5
Nqwebasaurus_thwazi	145	133.9
Hexing_qingyi	128.55	119.65
Sinornithomimus_dongi	93.9	89.8
Ornithomimus_edmontonicus	76.3	69.9
Struthiomimus_altus	83.6	66
Beishanlong_grandis	126.3	100.5
Gallimimus_bullatus	76.3	69.9
Khaan_mckennai	76.3	72.1
Caudipteryx_zhoui	128.55	119.65
Ingenia_yanshini	83.6	72.1
Rinchenia_mongoliensis	128.55	119.65
Gigantoraptor_erlianensis	83.6	66
Erliansaurus_bellamanus	83.6	66
Alxasaurus_elesitaiensis	126.3	113
Nothronychus_graffami	95.5	89.8
Guanlong_wucaii	163.5	157.3
Daspletosaurus_torosus	83.6	72.1
Albertosaurus_sarcophagus	83.6	66
Gorgosaurus_libratus	83.6	72.1
Tarbosaurus_bataar	83.6	66
Tyrannosaurus_rex	72.1	66
Gualicho_shinyae	100.5	89.8
Deltadromaeus_agilis	100.5	93.9
Meraxes	97	93
Concavenator	129	125
Deinocheirus	77.4	68.6
