Taxon,Subclade,Humeral Length,Radial Length,MCI length,Femoral length,Skull length,Interquadrate width
Australovenator_wintonensis,Allosauroidea,305,213,138.4,578,,
Szechuanosaurus_zigongensis_(ZDM_9011),Allosauroidea,364,203,123,585,1040,260
Allosaurus_fragilis,Allosauroidea,318,200,118,742,781.4,216
Acrocanthosaurus_atokensis,Allosauroidea,380,210,105,1180,1290,157.5
Mononykus_olecranus,Alvarezsauroidea,37,18.2,11.9,139,,
Haplocheirus_sollers,Alvarezsauroidea,104,86,57,214,212.8,65
Scipionyx_samniticus,basal_coelurosaur,26.3,17.5,10.6,37.3,50.3,NA
Juravenator_starki,basal_coelurosaur,27,19,11.5,52,82,NA
Compsognathus_longipes,basal_coelurosaur,39,24.7,14,71.5,72.5,20
Sinosauropteryx_prima,basal_coelurosaur,35.5,21,17,86.4,52.7,NA
Compsognathus_corallestris,basal_coelurosaur,52,41,25.4,109,110,NA
Huaxiagnathus_orientalis,basal_coelurosaur,89,53,40,164,189.9,NA
Coelurus_fragilis,basal_coelurosaur,119,81,53,210,,
Sinocalliopteryx_gigas,basal_coelurosaur,125,94,60,250,290,NA
Tanycolagreus_topwilsoni,basal_coelurosaur,194,141,83,356,321.8,NA
Eoraptor_lunensis,basal_theropod,85,61,20,154,114,35.8
Herrerasaurus_ischigualastensis,basal_theropod,181.6,153,58,354,300,76.3
Eodromaeus_murphi,basal_theropod,85,66,27,160,120,NA
Coelophysis_rhodesiensis,basal_theropod,100,61,26,208,280,80
Coelophysis_bauri,basal_theropod,120,65,39,209,207,NA
Dilophosaurus_wetherilli,basal_theropod,270,192,103,557,647.1,NA
D_sinensis,basal_theropod,302,175,95,590,459.5,NA
Limusaurus_inextricabilis,Ceratosauria,85,45,13,210,41.6,NA
Eoabelisaurus_mefi,Ceratosauria,335,165,74,640,NA,NA
Aucasaurus_garridoi,Ceratosauria,265,82,35,730,NA,NA
Carnotaurus_sastrei,Ceratosauria,284,76,36,1035,594.2,272.9
Mahakala_omnogovae,Paraves,37.5,36,18,79,NA,25.98
Microraptor_gui,Paraves,88,79,48.7,106,71.9,NA
Bambiraptor_feinbergorum,Paraves,103,85,47,120,125,NA
Sinornithosaurus_milleni,Paraves,134,100,64,148,130,NA
Velociraptor_mongoliensis,Paraves,130,104,59.1,187,230,77
Tianyuraptor_ostromi,Paraves,130,98,54,200,227.8,NA
Linheraptor_exquisitus,Paraves,157,106,63,225,225,NA
Deinonychus_antirrhopus,Paraves,254,192,103,336,320,150
Anchiornis_huxleyi,Paraves,69,54,34,66.2,67.3,NA
Jinfengopteryx_elegans,Paraves,49,42,21.4,70,NA,NA
Xiaotingia_zhengi,Paraves,71,63,24,84,61,NA
Sinornithoides_youngi,Paraves,83,59.1,37,140,109,NA
Nqwebasaurus_thwazi,Ornithomimosauria,58.5,44.2,26.5,118,NA,NA
Hexing_qingyi,Ornithomimosauria,90,76,33,135,136.3,37.3
Sinornithomimus_dongi,Ornithomimosauria,212,145,54.7,323,183.1,34
Ornithomimus_edmontonicus,Ornithomimosauria,276,190,107,435,234,41.6
Struthiomimus_altus,Ornithomimosauria,395,313,123,655,240,NA
Beishanlong_grandis,Ornithomimosauria,465,338,173,660,NA,NA
Gallimimus_bullatus,Ornithomimosauria,530,350,115,665,330,115
Khaan_mckennai,Oviraptorosauria,88,69,47,140,127,53.5
Caudipteryx_zhoui,Oviraptorosauria,70,56,29,149,79,NA
(Heyuannia) Ingenia_yanshini,Oviraptorosauria,139,95,41,235,NA,NA
Rinchenia_mongoliensis,Oviraptorosauria,205,180,104,305,174.2,34.9
Gigantoraptor_erlianensis,Oviraptorosauria,735,636,479,1100,449.9,146.2
Erliansaurus_bellamanus,Therizinosauria,276,220,116,412,NA,NA
Alxasaurus_elesitaiensis,Therizinosauria,375,245,111,555,NA,NA
Nothronychus_graffami,Therizinosauria,424,275,141.2,696,NA,NA
Guanlong_wucaii,Tyrannosauroidea,212,159,87,408,347.8,105.7
Daspletosaurus_torosus,Tyrannosauroidea,225,96,58,655,1040,425
Albertosaurus_sarcophagus,Tyrannosauroidea,305,134,83,1020,640.1,248
Gorgosaurus_libratus,Tyrannosauroidea,324,156,98,1040,708.9,190.1
Tarbosaurus_bataar,Tyrannosauroidea,285,123,75,1120,1100,554.2
Tyrannosaurus_rex,Tyrannosauroidea,385,175,113,1321,1422.1,816.3
Gualicho_shinyae,unknown,292,154,50.3,720,NA,NA
Deltadromaeus_agilis,unknown,470,NA,NA,740,NA,NA
